
0,0,2,0,5,2,0,10,2,0,11,2,0,10,2,0,14,2,0,18,2,0,19,2,0,18,2,0,19,2,0,19,2,0,18,2,0,18,2,0,13,2,0,12,2,0,19,2,0
0,5,1,0,0,1,0,13,1,0,14,1,0,13,1,0,10,1,0,19,1,0,21,1,0,19,1,0,21,1,0,20,1,0,19,1,0,20,1,0,15,1,0,14,1,0,21,1,0
0,10,4,3,13,4,3,0,4,3,7,4,3,7,4,3,22,4,3,10,4,3,14,4,3,15,4,3,15,4,3,17,4,3,16,4,3,15,4,3,9,4,3,8,4,3,14,4,3
0,11,1,8,14,1,8,7,1,8,0,1,8,7,1,8,23,1,8,16,1,8,12,1,8,15,1,8,10,1,8,16,1,8,12,1,8,9,1,8,3,1,8,7,1,8,13,1,8
0,10,6,3,13,6,3,7,6,3,7,6,3,0,6,3,22,6,3,17,6,3,14,6,3,10,6,3,13,6,3,17,6,3,14,6,3,14,6,3,8,6,3,7,6,3,16,6,3
0,14,2,0,10,2,0,22,2,0,23,2,0,22,2,0,0,2,0,13,2,0,25,2,0,13,2,0,25,2,0,14,2,0,15,2,0,24,2,0,24,2,0,23,2,0,23,2,0
0,18,2,4,19,2,4,10,2,4,16,2,4,17,2,4,13,2,4,0,2,4,18,2,4,7,2,4,19,2,4,8,2,4,9,2,4,18,2,4,17,2,4,18,2,4,16,2,4
500,19,3,1,21,3,1,14,3,1,12,3,1,14,3,1,25,3,1,18,3,1,0,3,1,18,3,1,14,3,1,18,3,1,13,3,1,8,3,1,11,3,1,15,3,1,14,3,1
500,18,4,3,19,4,3,15,4,3,15,4,3,10,4,3,13,4,3,7,4,3,18,4,3,0,4,3,17,4,3,7,4,3,8,4,3,17,4,3,16,4,3,16,4,3,17,4,3
500,19,2,0,21,2,0,15,2,0,10,2,0,13,2,0,25,2,0,19,2,0,14,2,0,17,2,0,0,2,0,12,2,0,15,2,0,10,2,0,10,2,0,8,2,0,13,2,0
500,19,4,3,20,4,3,17,4,3,16,4,3,17,4,3,14,4,3,8,4,3,18,4,3,7,4,3,12,4,3,0,4,3,7,4,3,17,4,3,16,4,3,10,4,3,18,4,3
500,18,14,5,19,14,5,16,14,5,12,14,5,14,14,5,15,14,5,9,14,5,13,14,5,8,14,5,15,14,5,7,14,5,0,14,5,13,14,5,10,14,5,15,14,5,14,14,5
500,18,7,2,20,7,2,15,7,2,9,7,2,14,7,2,24,7,2,18,7,2,8,7,2,17,7,2,10,7,2,17,7,2,13,7,2,0,7,2,10,7,2,14,7,2,12,7,2
500,13,23,8,15,23,8,9,23,8,3,23,8,8,23,8,24,23,8,17,23,8,11,23,8,16,23,8,10,23,8,16,23,8,10,23,8,10,23,8,0,23,8,7,23,8,14,23,8
500,12,4,4,14,4,4,8,4,4,7,4,4,7,4,4,23,4,4,18,4,4,15,4,4,16,4,4,8,4,4,10,4,4,15,4,4,14,4,4,7,4,4,0,4,4,17,4,4
500,19,7,2,21,7,2,14,7,2,13,7,2,16,7,2,23,7,2,16,7,2,14,7,2,17,7,2,13,7,2,18,7,2,14,7,2,12,7,2,14,7,2,17,7,2,0,7,2
