
2,5,8,13,14,12,14,9,9,11,12,2,12,11,12,10,10,19,10,12,12,12,12,12,26,27,30,19,11,12,10,11,11,11,12,13,12,16,16,13,10,12,8,0,0,0,0
4,2,12,15,16,14,15,11,11,13,14,4,14,14,13,13,14,19,14,13,13,13,13,13,24,25,28,20,16,14,14,14,14,14,15,14,18,13,16,15,13,14,10,0,0,0,0
8,12,2,11,9,14,14,15,15,17,15,8,14,18,18,17,17,19,15,16,16,16,16,16,25,27,28,19,18,17,17,18,18,16,19,18,17,16,17,18,17,17,14,0,0,0,0
13,15,12,2,11,10,13,13,13,6,16,13,10,13,12,12,13,20,12,13,13,13,13,13,25,26,29,20,14,13,13,14,13,12,14,13,14,13,11,15,12,10,12,0,0,0,0
14,16,9,10,2,13,13,8,8,16,6,14,13,16,17,16,16,17,15,14,14,14,14,14,24,25,27,19,15,16,16,16,16,14,18,17,17,13,16,16,16,15,14,0,0,0,0
12,14,14,10,13,2,7,11,11,12,16,12,2,11,10,12,10,19,9,13,13,13,13,13,24,25,29,18,11,12,12,11,11,9,12,13,14,16,14,14,10,12,12,0,0,0,0
14,15,14,13,13,4,2,15,15,15,16,14,4,15,14,15,14,19,13,15,15,15,15,15,25,26,30,18,15,14,16,14,15,13,16,15,16,14,16,16,14,14,16,0,0,0,0
9,11,15,13,8,11,15,1,1,12,7,9,11,8,9,11,9,19,8,11,11,11,11,11,25,26,29,20,9,8,10,9,9,10,10,10,9,7,16,14,10,12,10,0,0,0,0
9,11,15,13,8,11,15,1,1,12,7,9,11,8,9,11,9,19,8,11,11,11,11,11,25,26,29,20,9,8,10,9,9,10,10,10,9,7,16,14,10,12,10,0,0,0,0
14,13,17,6,16,13,15,12,12,2,10,14,13,12,11,12,9,18,12,13,13,13,13,13,24,27,29,19,13,10,12,13,13,12,12,14,10,14,10,14,11,11,10,0,0,0,0
15,14,15,16,6,16,16,7,7,10,2,15,16,15,16,15,13,15,14,13,13,13,13,13,25,26,28,19,14,14,15,15,15,14,16,16,17,12,16,15,16,16,12,0,0,0,0
0,4,8,13,14,12,14,9,9,11,12,0,12,10,11,10,10,19,10,12,12,12,12,12,26,27,30,19,10,10,10,11,11,11,11,11,11,9,16,13,10,12,8,0,0,0,0
12,14,14,10,13,0,4,11,11,12,16,12,0,11,10,12,10,19,9,13,13,13,13,13,24,25,29,18,11,10,12,11,11,9,12,11,12,11,14,14,10,12,12,0,0,0,0
10,13,18,13,16,11,15,8,8,12,15,10,11,2,7,9,4,20,6,11,11,11,11,11,26,28,31,19,6,8,9,8,6,10,4,8,6,6,16,15,6,11,12,0,0,0,0
11,13,18,12,17,10,14,9,9,11,16,11,10,7,2,8,8,19,8,11,11,11,11,11,25,27,30,18,11,7,8,9,8,10,8,9,8,9,13,15,6,10,12,0,0,0,0
10,13,17,12,16,12,15,11,11,12,15,10,12,9,8,0,10,19,10,13,13,13,13,13,25,27,30,16,10,9,9,10,8,10,10,10,10,10,13,13,8,9,11,0,0,0,0
10,14,17,13,16,10,14,9,9,10,14,10,10,4,8,10,1,19,6,13,13,13,13,13,28,30,33,20,7,7,9,7,5,9,3,10,7,6,18,14,6,11,12,0,0,0,0
19,19,19,20,17,19,19,19,19,18,15,19,19,20,19,19,19,1,21,9,9,9,9,9,22,23,25,19,19,19,21,21,21,18,22,18,19,20,20,19,20,19,19,500,1000,0,0
10,14,15,13,15,9,13,8,8,12,14,10,9,6,8,10,6,21,1,12,12,12,12,12,23,25,28,20,7,9,9,7,7,10,6,11,7,7,17,12,5,10,10,0,0,0,0
12,13,16,13,14,13,15,11,11,13,13,12,13,11,11,13,13,9,12,0,0,0,0,0,21,23,26,20,10,13,13,12,12,12,14,12,11,12,14,15,12,12,14,500,1000,0,0
12,13,16,13,14,13,15,11,11,13,13,12,13,11,11,13,13,9,12,0,0,0,0,0,22,24,27,20,10,13,13,12,12,12,14,12,11,12,14,15,12,12,14,500,1000,0,0
12,13,16,13,14,13,15,11,11,13,13,12,13,11,11,13,13,9,12,0,0,0,0,0,21,23,26,20,10,13,13,12,12,12,14,12,11,12,14,15,12,12,14,500,1000,0,0
12,13,16,13,14,13,15,11,11,13,13,12,13,11,11,13,13,9,12,0,0,0,0,0,21,23,26,21,10,13,13,12,12,12,14,12,11,12,14,15,12,12,14,500,1000,0,0
12,13,16,13,14,13,15,11,11,13,13,12,13,11,11,13,14,9,13,1,1,1,1,1,21,23,26,20,10,13,13,12,12,12,14,13,12,13,18,16,13,13,17,500,1000,0,0
26,24,25,25,24,24,25,25,25,24,25,26,24,26,25,25,27,22,23,21,21,21,21,21,0,3,6,26,25,23,26,26,26,25,28,26,26,30,24,23,24,24,23,0,0,0,0
27,25,27,26,25,25,26,26,26,27,26,27,25,28,27,27,29,23,25,23,23,23,23,23,3,0,8,29,27,26,28,29,29,28,30,28,28,27,25,23,26,26,25,0,0,0,0
30,28,28,29,27,29,30,29,29,29,28,30,29,31,30,30,32,25,28,26,26,26,26,26,6,8,0,30,30,28,30,30,30,29,32,31,31,30,29,27,29,29,27,0,0,0,0
19,20,19,20,19,18,18,20,20,19,19,19,18,19,18,16,20,19,20,20,20,20,20,20,26,29,30,0,20,17,19,20,20,17,20,19,20,18,16,20,18,18,20,0,0,0,0
10,14,17,14,15,11,15,8,8,13,14,10,11,6,9,10,7,19,7,10,10,10,10,10,25,27,30,20,7,8,10,8,6,10,7,8,6,6,16,14,7,12,12,0,0,0,0
10,14,17,13,16,10,14,8,8,10,14,10,10,8,7,9,7,19,9,13,13,13,13,13,23,26,28,17,8,0,9,9,8,8,8,9,9,9,15,14,7,10,11,0,0,0,0
10,14,17,13,16,12,16,10,10,12,15,10,12,9,8,9,9,21,9,13,13,13,13,13,26,28,30,19,10,9,1,10,8,11,9,10,10,9,17,12,9,11,10,0,0,0,0
11,14,18,13,16,11,14,9,9,13,15,11,11,8,9,10,7,21,7,12,12,12,12,12,26,29,30,20,8,8,10,0,2,9,7,9,8,8,16,14,8,11,12,0,0,0,0
11,14,18,13,16,11,15,9,9,13,15,11,11,6,8,8,5,21,7,12,12,12,12,12,26,29,30,20,6,8,8,2,0,9,5,9,7,6,16,14,6,11,12,0,0,0,0
11,14,16,12,14,9,13,10,10,12,14,11,9,10,10,10,9,18,10,12,12,12,12,12,25,28,29,17,10,8,11,9,9,1,10,9,7,9,16,15,9,9,13,0,0,0,0
11,15,19,14,18,12,16,10,10,12,16,11,12,4,8,10,3,22,6,14,14,14,14,14,28,30,32,20,7,8,9,7,5,10,2,8,8,7,16,15,6,11,12,0,0,0,0
11,14,18,13,17,11,15,10,10,12,16,11,11,8,9,10,8,18,9,12,12,12,12,12,26,28,31,19,8,9,10,10,9,9,8,0,6,10,14,15,8,11,13,500,0,0,0
11,12,17,12,17,12,16,9,9,10,15,11,12,6,8,10,6,19,7,11,11,11,11,11,26,28,31,20,6,9,10,8,7,7,7,6,1,6,16,16,6,11,12,0,0,0,0
9,13,16,13,13,11,14,7,7,12,12,9,11,6,9,10,6,20,7,12,12,12,12,12,26,27,30,18,6,9,9,8,6,9,7,8,6,3,15,14,7,12,12,0,0,0,0
16,16,17,9,16,14,16,16,16,10,16,16,14,16,13,13,16,20,15,14,14,14,14,14,24,25,29,16,16,15,17,16,16,16,16,14,16,15,2,17,15,14,15,0,0,0,0
13,15,18,15,16,14,16,14,14,14,15,13,14,15,15,13,14,19,12,15,15,15,15,15,23,23,27,20,14,14,12,14,14,15,15,15,16,14,17,0,14,14,10,0,0,0,750
10,13,17,12,16,10,14,10,10,11,16,10,10,6,6,8,6,20,5,12,12,12,12,12,24,26,29,18,7,7,9,8,6,9,6,8,6,7,15,14,1,5,12,0,0,0,0
12,14,17,10,15,12,14,12,12,11,16,12,12,11,10,9,11,19,10,12,12,12,12,12,24,26,29,18,12,10,11,11,11,9,11,11,11,12,14,14,6,0,13,0,0,0,750
8,10,14,12,14,12,16,10,10,10,12,8,12,12,12,11,12,19,10,14,14,14,14,14,23,25,27,20,12,11,10,12,12,13,12,13,12,12,15,10,12,13,2,0,0,0,750
