
0,0,5,1,16,5,1,13,5,1,10,5,1,10,5,1,13,5,1,10,5,1,17,5,1,12,5,1,16,5,1,8,5,1,10,5,1,8,5,1,12,5,1,15,5,1,9,5,1,11,5,1,10,5,1,10,5,1,12,5,1,15,5,1,10,5,1,10,5,1,9,5,1,10,5,1,25,5,1,27,5,1,30,5,1,9,5,1,10,5,1,8,5,1,19,5,1,13,5,1,0
0,16,0,2,0,0,2,16,0,2,19,0,2,19,0,2,20,0,2,18,0,2,19,0,2,20,0,2,19,0,2,20,0,2,20,0,2,18,0,2,18,0,2,18,0,2,17,0,2,20,0,2,20,0,2,20,0,2,19,0,2,19,0,2,17,0,2,20,0,2,19,0,2,20,0,2,26,0,2,29,0,2,30,0,2,19,0,2,20,0,2,18,0,2,19,0,2,20,0,2,0
0,13,1,0,16,1,0,0,1,0,14,1,0,16,1,0,16,1,0,15,1,0,17,1,0,9,1,0,16,1,0,16,1,0,16,1,0,15,1,0,14,1,0,16,1,0,15,1,0,16,1,0,16,1,0,16,1,0,10,1,0,16,1,0,16,1,0,16,1,0,17,1,0,15,1,0,24,1,0,25,1,0,29,1,0,16,1,0,16,1,0,13,1,0,20,1,0,14,1,0,0
0,10,3,0,19,3,0,14,3,0,0,3,0,11,3,0,14,3,0,8,3,0,18,3,0,13,3,0,17,3,0,9,3,0,9,3,0,8,3,0,11,3,0,15,3,0,9,3,0,10,3,0,8,3,0,8,3,0,12,3,0,16,3,0,9,3,0,6,3,0,10,3,0,9,3,0,26,3,0,28,3,0,31,3,0,8,3,0,8,3,0,9,3,0,18,3,0,12,3,0,0
0,10,28,23,19,28,23,16,28,23,11,28,23,0,28,23,4,28,23,9,28,23,8,28,23,13,28,23,14,28,23,11,28,23,11,28,23,10,28,23,12,28,23,14,28,23,10,28,23,9,28,23,11,28,23,10,28,23,11,28,23,12,28,23,11,28,23,11,28,23,10,28,23,10,28,23,26,28,23,27,28,23,30,28,23,10,28,23,10,28,23,11,28,23,19,28,23,12,28,23,0
0,13,16,20,20,16,20,16,16,20,14,16,20,4,16,20,0,16,20,13,16,20,12,16,20,15,16,20,16,16,20,14,16,20,14,16,20,13,16,20,14,16,20,15,16,20,14,16,20,11,16,20,15,16,20,14,16,20,13,16,20,14,16,20,14,16,20,12,16,20,14,16,20,14,16,20,24,16,20,25,16,20,28,16,20,13,16,20,14,16,20,13,16,20,19,16,20,13,16,20,0
0,10,1,1,18,1,1,15,1,1,8,1,1,9,1,1,13,1,1,0,1,1,16,1,1,13,1,1,13,1,1,6,1,1,8,1,1,7,1,1,11,1,1,14,1,1,9,1,1,7,1,1,7,1,1,6,1,1,12,1,1,12,1,1,9,1,1,6,1,1,9,1,1,7,1,1,26,1,1,27,1,1,30,1,1,6,1,1,6,1,1,9,1,1,20,1,1,12,1,1,0
0,17,2,0,19,2,0,17,2,0,18,2,0,8,2,0,12,2,0,16,2,0,0,2,0,11,2,0,9,2,0,18,2,0,18,2,0,17,2,0,14,2,0,14,2,0,17,2,0,15,2,0,19,2,0,17,2,0,17,2,0,15,2,0,16,2,0,17,2,0,17,2,0,15,2,0,25,2,0,27,2,0,28,2,0,18,2,0,17,2,0,18,2,0,19,2,0,16,2,0,0
0,12,5,7,20,5,7,9,5,7,13,5,7,13,5,7,15,5,7,13,5,7,11,5,7,0,5,7,10,5,7,13,5,7,13,5,7,12,5,7,10,5,7,13,5,7,13,5,7,13,5,7,14,5,7,13,5,7,6,5,7,16,5,7,12,5,7,12,5,7,13,5,7,12,5,7,25,5,7,26,5,7,29,5,7,13,5,7,14,5,7,12,5,7,20,5,7,13,5,7,0
0,16,3,3,19,3,3,16,3,3,17,3,3,14,3,3,16,3,3,13,3,3,9,3,3,10,3,3,0,3,3,16,3,3,16,3,3,16,3,3,13,3,3,13,3,3,16,3,3,8,3,3,18,3,3,16,3,3,16,3,3,6,3,3,14,3,3,17,3,3,16,3,3,15,3,3,24,3,3,25,3,3,27,3,3,16,3,3,15,3,3,17,3,3,17,3,3,14,3,3,0
