
0,0,1,0,12,1,0,13,1,0,11,1,0,22,1,0,21,1,0,9,1,0,5,1,0,14,1,0,13,1,0
0,12,0,3,0,0,3,7,0,3,5,0,3,22,0,3,20,0,3,13,0,3,12,0,3,15,0,3,12,0,3
0,13,3,0,7,3,0,0,3,0,8,3,0,23,3,0,21,3,0,13,3,0,13,3,0,16,3,0,15,3,0
0,11,4,3,5,4,3,8,4,3,0,4,3,23,4,3,21,4,3,13,4,3,12,4,3,15,4,3,12,4,3
500,22,3,6,22,3,6,23,3,6,23,3,6,0,3,6,12,3,6,24,3,6,21,3,6,10,3,6,17,3,6
500,21,1,3,20,1,3,21,1,3,21,1,3,12,1,3,0,1,3,21,1,3,20,1,3,21,1,3,20,1,3
500,9,4,1,13,4,1,13,4,1,13,4,1,24,4,1,21,4,1,0,4,1,12,4,1,17,4,1,15,4,1
500,5,1,2,12,1,2,13,1,2,12,1,2,21,1,2,20,1,2,12,1,2,0,1,2,14,1,2,14,1,2
500,14,2,2,15,2,2,16,2,2,15,2,2,10,2,2,21,2,2,17,2,2,14,2,2,0,2,2,7,2,2
500,13,1,0,12,1,0,15,1,0,12,1,0,17,1,0,20,1,0,15,1,0,14,1,0,7,1,0,0,1,0
