
5,8,23,30,27,28,36,27,27,27,26,24,15,23,26,37,37,28,32,31,26,29,25,21,27,13,21,22,28,28,28,27,28,29,27,23,22,28,24,24,17,25,17,25,24,25,30,28,20,24,24,25,19,25,11,19,28,25,17,21,22,17,26,26,27,25,20,28,20,18,27,28,27,26,27,26,25,25,26,18,25,27,27,27,26,18,19,16,26,26,28,27,26,27,22,30,38,45,34,22,23,25,24,57,36,28,25,25,18,26,29,16,29,18,26,29,23,31,23,24,14,22,22,16,24,28,27,12,20,19,25,25,13,21,25,28,28,19,21,29,9,17,29,23,15,23,16,24,21,27,15,27,27,28,31,30,18,27,26,28,27,20,17,27,28,30,31,29,25,26,30,25,26,20,27,28,27,27,18,29,28,27,26,21,23,23,25,24,26,25,23,23,16,18,19,21,26,27,21,25,26,15,25,25,25,22,22,24,27,20,19,20,15,22,20,23,22,21,25,26,31,13,21,22,33,28,22,27,23,27,25,23,31,32,22,35,27,24,21,28,25,27,26,34,28,18,18,19,28,19,25,28,500,1000,0,0
9,0,27,22,20,26,38,25,23,26,27,16,23,15,18,43,37,26,33,23,18,21,21,20,21,21,13,14,21,21,24,25,25,21,20,18,17,20,19,19,20,17,20,17,16,27,25,25,21,16,16,17,11,21,19,11,20,17,9,13,14,9,20,18,23,17,23,21,12,10,20,21,19,18,19,18,17,17,20,10,21,25,24,24,18,10,21,16,20,21,23,22,22,21,14,22,30,38,26,14,15,17,16,52,28,20,20,20,26,18,28,8,28,10,18,21,31,23,15,20,22,14,14,24,16,25,21,20,12,27,19,19,21,13,31,25,28,11,13,30,17,9,21,25,23,15,24,16,13,19,7,20,21,20,26,25,10,20,20,23,22,12,9,22,20,22,23,30,22,23,23,18,18,21,20,21,21,21,10,21,20,20,24,13,18,17,17,20,23,17,19,17,13,11,11,15,31,26,13,20,20,7,17,19,25,19,16,18,22,26,11,12,7,17,24,20,17,17,20,34,23,21,13,14,30,24,14,20,16,24,18,15,24,24,14,33,25,16,13,27,17,27,18,32,24,21,10,11,22,22,17,20,500,1000,0,0
23,27,2,13,23,24,36,24,23,23,24,26,23,23,26,37,35,25,30,29,25,29,22,15,22,20,21,23,25,25,25,24,26,30,29,26,28,27,26,26,20,26,22,26,29,34,29,20,11,22,24,29,27,25,24,27,28,28,26,28,26,26,26,30,28,27,19,28,25,26,26,27,28,26,28,26,29,29,26,26,24,24,24,24,27,27,30,27,27,26,27,27,27,28,26,29,19,29,31,26,27,30,28,43,35,28,25,26,27,29,31,25,31,26,25,27,32,33,27,23,25,25,28,24,25,26,21,23,25,32,30,28,22,27,18,20,23,21,26,30,21,26,31,33,27,29,28,29,26,25,26,27,26,25,32,31,27,28,27,15,17,27,26,26,28,30,32,29,26,27,29,26,31,19,26,28,25,27,26,29,27,25,27,27,25,25,26,28,27,28,27,25,27,26,29,26,27,29,28,27,27,27,28,28,27,27,26,27,29,27,28,28,27,27,23,27,26,26,26,37,35,28,29,31,35,30,30,27,27,29,26,29,35,36,28,36,29,30,28,30,31,29,32,36,29,19,27,27,29,21,28,28,0,0,0,0
30,22,12,2,28,27,36,27,27,26,28,16,23,15,16,39,33,25,30,18,15,32,29,25,26,24,16,12,30,29,29,30,31,20,32,29,31,31,29,29,31,29,32,29,22,33,31,22,22,11,13,19,21,31,29,21,33,18,21,19,21,21,28,22,28,20,29,34,19,20,29,33,31,30,31,30,33,33,29,22,29,28,28,28,17,21,32,27,31,33,31,30,30,31,20,20,10,20,20,20,20,19,21,34,28,33,32,31,30,22,31,21,34,18,28,31,31,23,19,24,25,16,17,26,18,28,25,22,16,30,21,31,33,25,25,22,27,17,21,33,30,22,20,31,29,21,29,21,19,28,22,31,31,27,32,31,20,33,30,21,23,23,22,30,33,36,22,34,31,31,35,28,22,28,29,34,31,29,24,23,33,30,31,19,30,29,31,31,30,33,30,31,32,30,22,31,33,32,22,30,31,21,34,33,33,32,30,33,33,35,21,21,22,33,32,30,30,30,30,37,26,28,20,22,36,31,20,33,29,32,29,19,24,25,19,35,31,22,19,32,21,33,22,35,31,30,20,20,29,32,31,33,500,1000,0,0
27,20,23,28,0,9,24,9,6,10,10,12,32,24,27,43,35,24,30,29,25,19,17,18,17,30,22,23,8,12,14,16,19,24,19,18,18,18,19,19,23,20,24,19,25,36,28,22,20,24,24,27,21,17,26,19,20,20,18,20,24,19,19,27,24,23,22,18,21,19,17,19,18,17,18,17,19,19,21,19,11,17,17,17,23,20,29,25,19,18,22,23,23,18,23,32,36,45,34,24,25,26,26,59,38,17,17,16,29,21,26,19,27,20,17,18,40,32,25,17,31,19,23,30,22,24,17,29,21,37,28,18,25,20,30,22,26,20,21,28,23,19,31,34,32,24,33,25,21,16,17,19,15,22,26,26,19,19,20,19,21,19,18,20,18,18,26,25,18,19,20,19,28,19,16,19,18,21,18,28,19,18,24,25,20,19,18,21,25,19,20,19,19,18,26,19,33,25,26,22,22,19,17,19,25,20,19,18,22,28,22,22,19,20,28,21,18,19,14,41,30,34,26,28,34,26,27,19,18,27,20,27,35,36,27,35,28,29,26,28,29,28,30,33,26,23,23,23,27,21,18,19,0,0,0,0
28,26,24,27,9,0,17,9,11,10,10,11,33,25,28,43,37,28,34,30,27,28,25,24,25,30,26,25,17,19,19,20,21,23,28,26,26,27,28,28,28,25,28,24,26,37,28,23,21,24,27,27,28,25,27,26,29,19,25,19,26,26,25,29,26,25,24,27,25,25,25,28,27,25,27,25,28,28,24,26,20,14,19,22,22,27,30,28,23,26,28,27,26,26,27,32,35,44,34,26,27,28,27,58,37,24,25,23,30,25,28,25,28,24,26,22,39,31,26,23,31,23,23,30,25,27,24,29,24,36,27,26,28,23,30,27,28,25,26,29,27,26,30,34,32,25,33,27,23,23,24,26,22,24,29,29,25,27,24,23,23,24,25,25,27,27,25,26,22,23,29,25,29,23,24,28,26,24,27,29,28,26,28,26,28,28,27,27,27,28,28,28,27,25,26,26,33,31,28,24,26,26,25,27,27,28,26,26,26,30,25,25,26,29,27,25,27,26,23,42,33,33,25,30,34,26,27,28,26,29,24,28,34,35,26,36,28,30,26,28,30,29,31,34,26,25,26,26,29,24,25,26,0,0,0,0
36,38,36,36,24,17,0,23,25,18,20,23,35,36,36,41,36,36,38,36,37,38,37,36,37,37,37,35,32,33,33,33,33,35,41,38,37,40,38,39,37,38,37,37,37,37,39,35,34,33,35,36,38,34,36,38,43,31,38,31,38,37,38,35,38,36,35,42,37,38,39,41,38,36,38,36,42,42,37,39,35,29,31,36,34,38,40,39,35,39,37,37,36,38,34,34,39,45,36,38,38,37,38,57,40,38,37,35,36,35,33,37,35,36,38,35,41,38,34,34,34,36,34,35,36,37,38,35,35,40,35,40,33,36,36,38,39,36,38,38,36,39,37,37,36,36,37,34,34,37,37,39,35,30,36,37,36,38,35,36,36,37,38,35,40,42,34,33,35,35,44,38,36,36,37,40,38,33,40,39,39,38,36,37,40,41,41,39,36,41,38,40,38,37,36,39,39,40,37,36,38,39,39,39,38,39,38,40,37,36,37,37,39,40,34,38,39,39,35,42,37,37,37,37,36,36,36,42,40,36,36,35,39,39,36,39,38,36,36,38,37,34,32,36,36,36,38,38,38,36,37,39,0,0,0,0
27,25,24,27,9,9,23,0,11,8,9,11,31,25,28,42,36,27,33,30,27,28,24,24,24,29,26,25,17,18,19,19,20,23,28,25,25,27,27,27,26,25,27,25,26,35,29,24,21,24,27,27,27,25,26,25,26,19,24,19,26,26,26,29,27,26,25,27,24,24,25,28,27,26,27,26,28,28,24,26,20,20,20,22,22,27,28,27,26,26,26,26,25,26,27,32,35,44,34,26,27,28,27,58,37,24,24,23,29,25,28,24,27,24,25,26,39,31,26,22,30,22,23,29,25,27,25,28,24,36,27,25,26,22,29,28,27,24,25,29,25,25,30,33,31,25,32,27,23,25,23,26,22,24,27,27,24,28,24,25,25,24,24,24,27,27,25,27,22,21,29,26,29,22,25,26,26,25,26,30,26,26,28,26,27,25,26,26,29,28,27,26,26,25,26,25,33,31,28,25,27,26,26,27,28,27,26,26,26,29,25,25,26,28,28,24,25,24,23,41,32,33,25,30,35,28,27,27,26,29,27,28,34,35,26,37,30,30,26,30,30,29,31,34,27,26,26,26,29,23,25,27,0,0,0,0
27,23,23,27,7,11,25,11,0,12,11,11,32,24,28,41,33,24,30,29,26,19,20,22,19,30,24,24,14,14,8,16,19,23,19,15,15,18,17,17,24,22,25,22,25,36,28,21,20,24,25,27,24,19,26,22,23,19,21,19,25,22,20,29,23,25,23,21,22,22,19,22,18,20,18,20,22,22,22,22,17,19,19,11,22,23,30,26,21,20,23,24,23,15,26,31,34,43,34,25,26,27,27,57,36,19,19,17,30,23,26,22,27,23,20,20,39,31,25,19,30,20,22,30,23,23,20,29,22,36,27,20,25,20,30,23,27,22,23,29,24,22,29,32,32,25,33,26,22,15,20,21,17,17,28,28,22,22,20,20,20,21,21,21,18,23,25,29,22,23,23,20,28,20,19,22,21,21,21,28,22,21,25,25,22,20,21,22,26,21,23,23,21,20,26,21,33,25,27,22,23,22,20,22,24,22,21,21,22,30,23,23,22,23,29,21,20,20,20,42,31,33,25,29,34,25,27,22,22,27,21,27,34,35,26,35,26,29,25,26,29,28,30,33,25,24,25,25,27,22,21,22,0,0,0,0
27,26,23,26,10,10,18,8,12,0,6,13,29,26,26,40,33,24,30,28,28,28,27,25,24,29,27,26,18,19,20,21,21,25,28,25,25,27,27,27,27,25,27,25,27,34,28,21,20,23,25,28,28,23,26,26,29,21,25,21,28,27,23,27,27,27,24,28,25,25,24,28,27,23,27,23,27,27,24,27,21,20,18,23,24,28,30,28,24,26,27,26,27,25,28,31,32,41,33,28,29,29,29,55,35,27,25,25,28,26,26,25,28,25,25,26,37,29,27,22,28,23,24,28,26,23,24,27,25,34,26,25,25,23,29,24,28,25,26,29,26,26,30,33,30,27,31,26,24,24,24,26,22,22,28,27,25,28,24,23,23,25,25,23,27,28,27,27,22,23,30,23,29,24,23,29,25,23,27,30,28,27,30,27,27,27,28,27,29,28,29,29,27,26,27,25,33,30,28,26,28,27,26,27,28,28,26,28,24,30,26,26,27,29,26,26,26,26,24,40,32,31,27,28,35,27,29,28,27,28,24,28,32,32,28,36,28,29,27,28,28,29,30,34,27,26,28,28,29,24,28,28,500,0,0,0
