
0,0,10,0,13,0,17,0,12,0,16,0,8,0,12,0,15,0,9,0,10,0,10,0,12,0,15,0,10,0,25,0,27,0,30,0,9,0,8,0,0,0,1000
10,0,0,0,4,0,8,0,13,0,14,0,10,0,12,0,14,0,10,0,11,0,10,0,11,0,12,0,10,0,26,0,27,0,30,0,10,0,11,0,100,0,1000
13,0,4,0,0,0,12,0,15,0,16,0,13,0,14,0,15,0,14,0,15,0,14,0,13,0,14,0,14,0,24,0,25,0,28,0,13,0,13,0,100,0,1000
17,0,8,0,12,0,0,0,11,0,9,0,17,0,14,0,14,0,17,0,19,0,17,0,17,0,15,0,15,0,25,0,27,0,28,0,18,0,18,0,100,0,1000
12,0,13,0,15,0,11,0,0,0,10,0,12,0,10,0,13,0,13,0,14,0,13,0,6,0,16,0,12,0,25,0,26,0,29,0,13,0,12,0,100,0,1000
16,0,14,0,16,0,9,0,10,0,0,0,16,0,13,0,13,0,16,0,18,0,16,0,16,0,6,0,15,0,24,0,25,0,27,0,16,0,17,0,100,0,1000
8,0,10,0,13,0,17,0,12,0,16,0,0,0,10,0,14,0,7,0,6,0,6,0,11,0,16,0,5,0,24,0,26,0,29,0,6,0,6,0,100,0,1000
12,0,12,0,14,0,14,0,10,0,13,0,10,0,0,0,4,0,10,0,12,0,10,0,12,0,16,0,9,0,24,0,25,0,29,0,11,0,10,0,100,0,1000
15,0,14,0,15,0,14,0,13,0,13,0,14,0,4,0,0,0,14,0,16,0,14,0,15,0,16,0,13,0,25,0,26,0,30,0,15,0,14,0,100,0,1000
9,0,10,0,14,0,17,0,13,0,16,0,7,0,10,0,14,0,0,0,8,0,7,0,10,0,14,0,9,0,23,0,26,0,28,0,8,0,7,0,0,0,0
10,0,11,0,15,0,19,0,14,0,18,0,6,0,12,0,16,0,8,0,0,0,3,0,12,0,16,0,6,0,28,0,30,0,32,0,4,0,8,0,100,0,0
10,0,10,0,14,0,17,0,13,0,16,0,6,0,10,0,14,0,7,0,3,0,0,0,9,0,13,0,6,0,27,0,29,0,32,0,4,0,8,0,100,0,1000
12,0,11,0,13,0,17,0,6,0,16,0,11,0,12,0,15,0,10,0,12,0,9,0,0,0,10,0,12,0,24,0,27,0,29,0,12,0,11,0,100,0,1000
15,0,12,0,14,0,15,0,16,0,6,0,16,0,16,0,16,0,14,0,16,0,13,0,10,0,0,0,14,0,25,0,26,0,28,0,15,0,16,0,100,0,1000
10,0,10,0,14,0,15,0,12,0,15,0,5,0,9,0,13,0,9,0,6,0,6,0,12,0,14,0,0,0,23,0,25,0,28,0,6,0,8,0,100,0,1000
25,0,26,0,24,0,25,0,25,0,24,0,24,0,24,0,25,0,23,0,28,0,27,0,24,0,25,0,23,0,0,0,3,0,6,0,26,0,25,0,0,0,1000
27,0,27,0,25,0,27,0,26,0,25,0,26,0,25,0,26,0,26,0,30,0,29,0,27,0,26,0,25,0,3,0,0,0,8,0,28,0,27,0,0,0,1000
30,0,30,0,28,0,28,0,29,0,27,0,29,0,29,0,30,0,28,0,32,0,32,0,29,0,28,0,28,0,6,0,8,0,0,0,31,0,30,0,0,0,1000
9,0,10,0,13,0,18,0,13,0,16,0,6,0,11,0,15,0,8,0,4,0,4,0,12,0,15,0,6,0,26,0,28,0,31,0,0,0,7,0,100,0,1000
8,0,11,0,13,0,18,0,12,0,17,0,6,0,10,0,14,0,7,0,8,0,8,0,11,0,16,0,8,0,25,0,27,0,30,0,7,0,0,0,100,0,1000
