
0,7,16,20,28,13,9,12,9,12,17,19,8,13,15,20,10,12,20,7,10,10,18,17,16,11,11,10,11,10,9,10,10,13,22,18,20,11,14,12,10,16,23,10,0,0,0,0
7,1,16,21,30,13,9,10,2,14,20,20,9,15,15,21,8,12,22,8,9,9,19,16,16,8,8,10,7,7,9,5,5,14,23,19,21,4,15,12,8,17,25,11,0,0,0,0
16,16,0,18,25,17,16,15,18,17,18,8,17,16,5,9,15,15,10,16,16,16,17,16,5,17,17,18,16,15,16,15,15,5,19,18,8,17,18,17,16,5,12,15,500,1000,0,0
20,21,18,3,9,11,20,13,21,20,20,17,19,19,19,18,19,18,19,19,18,19,20,19,20,21,20,19,21,21,19,21,21,20,15,20,20,24,21,19,19,18,22,18,0,0,0,0
28,30,25,9,1,18,27,22,30,27,27,23,27,26,25,24,24,22,25,27,26,27,26,25,26,28,29,27,30,30,28,30,30,27,21,27,26,29,28,26,27,25,26,27,0,0,0,0
12,13,16,9,18,1,12,13,13,12,18,17,11,13,15,19,11,13,18,11,13,12,20,11,16,19,12,12,15,14,12,14,14,14,19,17,19,24,15,13,12,16,23,13,0,0,0,0
9,9,16,20,27,12,0,11,9,12,18,19,9,15,15,20,9,12,20,10,11,10,19,16,15,10,10,11,10,10,10,10,10,13,22,18,19,10,17,12,11,16,22,12,0,0,0,0
12,10,15,13,22,13,11,9,17,12,18,15,8,13,11,16,11,11,20,10,9,10,18,17,14,12,11,11,10,10,12,12,12,12,15,18,19,10,17,14,10,15,23,12,0,0,0,0
9,2,18,21,30,13,9,9,1,12,19,19,7,14,14,20,8,12,23,8,9,9,20,17,17,15,8,10,8,7,9,5,5,15,23,19,22,6,18,11,8,18,27,13,0,0,0,0
12,14,17,20,27,12,12,12,12,0,6,16,5,11,13,16,14,15,21,12,14,14,18,16,17,14,15,13,16,16,14,15,15,16,22,18,20,15,15,14,14,17,24,15,0,0,0,0
17,20,18,20,27,18,18,18,18,8,0,15,11,5,15,15,20,20,20,18,19,19,21,19,19,22,20,18,22,21,20,21,21,19,23,20,19,19,17,17,15,18,23,18,0,0,0,0
19,20,8,17,23,18,19,15,19,16,15,0,17,15,5,4,19,18,8,19,18,17,19,19,9,21,19,20,21,19,18,20,20,9,20,19,8,20,18,19,18,7,13,18,500,1000,0,0
8,9,17,19,27,11,9,8,7,5,11,17,0,6,12,18,9,12,21,7,9,9,18,16,16,11,10,9,11,11,11,10,10,14,22,18,21,11,14,11,10,17,25,12,0,0,0,0
13,15,16,19,26,13,15,13,13,11,5,15,8,0,11,17,15,15,20,13,14,14,20,17,15,18,15,13,17,16,15,16,16,14,22,18,19,14,14,13,11,16,24,14,0,0,0,0
15,15,5,19,25,16,15,11,24,13,15,5,12,11,0,6,15,15,9,14,14,16,17,16,4,20,16,16,16,14,15,15,15,4,19,18,9,18,15,16,15,5,13,14,500,1000,0,0
20,21,9,18,24,20,20,16,20,16,15,4,18,17,6,0,20,19,9,20,19,19,19,20,10,22,21,21,22,20,19,21,21,10,20,19,9,22,20,19,20,9,11,19,500,1000,0,0
10,8,15,19,23,11,9,11,8,14,20,19,9,15,15,20,0,4,15,9,10,10,19,16,16,11,9,11,8,7,10,9,9,13,23,19,19,7,17,13,9,15,24,12,0,0,0,0
12,12,15,18,22,13,12,11,12,15,20,18,12,15,15,19,5,0,12,12,8,12,19,17,16,13,12,12,12,13,12,14,14,13,21,15,18,11,18,12,12,15,22,13,0,0,0,750
20,22,10,19,25,20,20,20,23,21,20,8,21,20,9,9,17,12,0,21,19,18,19,20,9,21,21,20,22,22,22,20,20,10,20,19,7,21,20,20,20,7,14,18,500,1000,0,0
7,8,16,19,27,11,10,10,8,12,18,19,7,13,14,20,9,12,21,0,9,8,19,15,15,11,9,8,10,10,10,9,9,13,22,18,20,8,16,12,8,16,25,12,0,0,0,0
10,9,16,18,26,13,11,9,9,14,19,18,9,14,14,19,10,8,19,9,0,4,18,16,15,10,9,10,11,11,10,12,12,13,21,15,18,9,17,12,10,15,24,13,0,0,0,750
10,9,16,19,27,12,10,10,9,14,19,17,9,14,15,19,10,12,18,8,4,1,18,15,15,11,10,10,11,11,7,14,14,13,20,16,17,9,16,13,9,14,23,13,500,0,0,750
18,19,17,20,26,20,19,18,20,18,21,19,18,20,17,19,19,19,19,19,18,18,0,9,17,19,18,19,18,19,18,20,20,18,21,21,18,20,17,18,20,18,22,17,0,0,0,0
16,16,16,19,25,11,16,17,17,16,19,19,16,17,16,20,16,17,20,15,16,15,9,2,16,16,16,17,18,17,14,17,17,17,20,18,19,17,17,17,16,17,22,15,0,0,0,0
16,16,5,20,26,16,15,14,17,17,19,9,16,15,4,10,16,16,9,15,15,15,17,16,0,14,17,17,16,15,16,15,15,5,20,19,8,17,17,18,16,4,13,14,500,1000,0,0
10,6,17,20,28,12,10,11,6,14,20,20,10,16,16,21,9,12,21,9,10,9,19,16,14,2,10,11,7,7,10,5,5,14,23,19,20,6,16,11,9,16,25,11,0,0,0,0
11,8,17,20,29,12,10,11,8,15,20,19,10,15,16,21,9,12,21,9,9,10,18,16,17,10,0,4,10,10,10,9,9,14,21,16,20,8,17,12,9,17,26,12,0,0,0,0
10,10,18,19,27,12,11,11,10,13,18,20,9,13,16,21,11,12,20,8,10,10,19,17,17,11,4,0,12,12,11,11,11,15,21,17,20,10,16,12,10,17,24,12,0,0,0,0
11,7,16,21,30,15,10,10,8,16,22,21,11,17,16,22,8,12,22,10,11,11,18,18,16,7,10,12,0,5,9,6,6,12,22,20,20,7,15,12,9,16,25,11,0,0,0,0
10,7,15,21,30,14,10,10,7,16,21,19,11,16,14,20,7,11,20,10,10,11,19,17,15,8,10,12,5,4,8,5,5,10,21,18,18,5,16,13,8,14,24,10,0,0,0,0
9,9,16,19,28,12,10,12,9,14,20,18,11,15,15,19,10,12,19,10,10,7,18,14,16,11,10,11,9,8,0,5,5,13,15,11,18,9,15,11,9,16,24,12,500,0,0,0
10,5,15,21,30,14,10,12,5,15,21,19,10,16,14,20,9,12,20,9,10,7,20,17,15,5,9,11,6,5,5,1,1,10,20,16,18,4,17,12,8,14,24,11,500,0,0,0
10,5,15,21,30,14,10,12,5,15,21,19,10,16,14,20,9,12,20,9,10,7,20,17,15,5,9,11,6,7,5,0,0,10,20,16,18,4,17,12,8,14,24,11,500,0,0,0
13,14,5,20,27,14,13,12,15,16,19,9,14,14,4,10,13,13,10,13,13,13,18,17,5,18,14,15,12,10,13,10,10,0,20,18,8,13,14,13,12,4,14,14,500,1000,0,0
22,23,19,15,21,19,22,15,23,22,23,20,22,22,19,20,23,21,20,22,21,20,21,20,20,24,21,21,22,21,15,20,20,20,1,8,13,21,20,18,18,17,21,16,500,0,0,0
18,19,18,20,27,17,18,18,19,18,20,19,18,18,18,19,19,15,19,18,15,16,21,18,19,19,16,17,20,18,11,17,17,18,8,0,12,17,16,14,15,16,20,14,500,0,0,750
20,21,8,20,26,19,19,19,22,20,19,8,21,19,9,9,19,18,7,20,18,17,18,19,8,25,20,20,20,20,21,18,18,8,13,13,0,19,17,17,17,4,13,15,500,1000,0,0
10,5,17,20,29,12,10,10,4,15,19,20,10,14,16,22,7,11,21,8,9,9,20,17,17,11,8,10,7,5,9,4,4,13,21,17,19,2,15,10,6,15,26,12,0,0,0,0
14,15,17,21,28,15,17,17,17,15,17,18,14,14,15,20,17,18,20,16,17,16,17,17,16,20,17,16,15,16,15,17,17,14,20,16,17,15,0,12,11,13,21,14,0,0,0,0
13,12,17,19,26,13,12,14,11,14,17,19,11,13,16,19,13,12,20,12,12,13,18,17,17,12,12,12,12,13,11,12,12,13,18,14,17,11,12,0,7,14,23,13,0,0,0,0
10,8,16,19,27,12,11,10,8,14,15,18,10,10,15,20,9,12,20,8,10,9,20,16,16,11,9,10,9,8,9,8,8,12,18,15,17,8,11,7,0,13,25,11,0,0,0,0
16,17,5,18,25,21,16,15,18,17,18,7,17,16,5,9,16,15,7,16,15,14,18,17,4,20,17,17,17,15,20,16,16,4,17,16,4,23,13,15,13,0,13,14,500,1000,0,0
23,25,12,22,26,23,22,23,27,24,23,13,25,24,13,11,24,22,14,25,24,23,22,22,13,26,26,24,25,24,24,24,24,14,21,20,13,26,21,23,25,13,0,20,500,1000,0,0
10,11,15,18,27,13,12,12,12,15,18,18,12,14,14,19,12,13,18,12,13,13,17,15,14,16,12,12,11,10,12,11,11,14,16,14,15,12,14,13,11,14,20,1,0,0,0,0
