
0,0,12,0,9,0,9,0,12,0,17,0,8,0,13,0,10,0,7,0,18,0,16,0,10,0,14,0,12,0,10,0,10,0,100,0,1000
12,0,0,0,12,0,13,0,12,0,18,0,11,0,13,0,11,0,11,0,20,0,11,0,12,0,15,0,13,0,12,0,13,0,100,0,1000
9,0,12,0,0,0,9,0,12,0,18,0,9,0,15,0,9,0,10,0,19,0,16,0,10,0,17,0,12,0,11,0,12,0,0,0,1000
9,0,13,0,9,0,0,0,12,0,18,0,7,0,13,0,8,0,8,0,20,0,17,0,4,0,17,0,11,0,8,0,12,0,100,0,1000
12,0,12,0,12,0,12,0,0,0,6,0,5,0,11,0,14,0,12,0,18,0,16,0,15,0,15,0,14,0,14,0,15,0,0,0,0
17,0,18,0,18,0,18,0,6,0,0,0,11,0,5,0,20,0,18,1000,21,0,19,0,19,0,17,0,17,0,15,0,18,0,100,0,1000
8,0,11,0,9,0,7,0,5,0,11,0,0,0,6,0,9,0,7,0,18,0,16,0,10,0,14,0,11,0,10,0,12,0,100,0,0
13,0,13,0,15,0,13,0,11,0,5,0,6,0,0,0,15,0,13,1000,20,0,17,0,14,0,14,0,13,0,10,0,14,0,100,0,1000
10,0,11,0,9,0,8,0,14,0,20,0,9,0,15,0,0,0,9,0,19,0,16,0,7,0,17,0,13,0,9,0,12,0,0,0,0
7,0,11,0,10,0,8,0,12,0,18,0,7,0,13,0,9,0,0,0,19,0,15,0,8,0,16,0,12,0,8,0,12,0,0,0,1000
18,0,20,0,19,0,20,0,18,0,21,0,18,0,20,0,19,0,19,0,0,0,9,0,20,0,17,0,18,0,20,0,17,0,0,0,0
16,0,11,0,16,0,17,0,16,0,19,0,16,0,17,0,16,0,15,0,9,0,0,0,17,0,17,0,17,0,16,0,15,0,100,0,1000
10,0,12,0,10,0,4,0,15,0,19,0,10,0,14,0,7,0,8,0,20,0,17,0,0,0,15,0,10,0,6,0,12,0,100,0,1000
14,0,15,0,17,0,17,0,15,0,17,0,14,0,14,0,17,0,16,0,17,0,17,0,15,0,0,0,12,0,11,0,14,0,0,0,1000
12,0,13,0,12,0,11,0,14,0,17,0,11,0,13,0,13,0,12,0,18,0,17,0,10,0,12,0,0,0,7,0,13,0,100,0,1000
10,0,12,0,11,0,8,0,14,0,15,0,10,0,10,0,9,0,8,1000,20,0,16,0,6,0,11,0,7,0,0,0,11,0,100,0,1000
10,0,13,0,12,0,12,0,15,0,18,0,12,0,14,0,12,0,12,0,17,0,15,0,12,0,14,0,13,0,11,0,0,0,100,0,1000
